#==============================================================================
#
# スクリプトファイル [map_tip_data.txt]
# Author : 小綱啓仁
#
#==============================================================================
SCRIPT			# この行は絶対消さないこと！

#------------------------------------------------------------------------------
# モデル数
#------------------------------------------------------------------------------
NUM_MODEL = 4

#------------------------------------------------------------------------------
# モデルファイル名
#------------------------------------------------------------------------------
MODEL_FILENAME = data/model/map_object/on_hit/00_NotMap.x
MODEL_FILENAME = data/model/map_object/on_hit/01_Tree.x
MODEL_FILENAME = data/model/map_object/on_hit/02_Obstacle.x
MODEL_FILENAME = data/model/map_object/on_hit/object_for_hit_test.x

#------------------------------------------------------------------------------
# マップの最大
#------------------------------------------------------------------------------

MAP_NUM_MAX = 17

#------------------------------------------------------------------------------
# マップデータ
#------------------------------------------------------------------------------

MAP_XZ
	1 0.000000 1.570796 0.000000
	1 0.000000 1.570796 0.000000
	1 0.000000 1.570796 0.000000
	1 0.000000 -1.570796 0.000000
	3 0.000000 1.570796 0.000000
	1 0.000000 -1.570796 0.000000
	1 0.000000 1.570796 0.000000
	1 0.000000 -1.570796 0.000000
	1 0.000000 -1.570796 0.000000
	1 0.000000 -1.570796 0.000000
	1 0.000000 -3.141593 0.000000
	1 0.000000 0.000000 0.000000
	1 0.000000 -1.570796 0.000000
	1 0.000000 0.000000 0.000000
	1 0.000000 -3.141593 0.000000
	1 0.000000 -1.570796 0.000000
	1 0.000000 1.570796 0.000000
	1 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	1 0.000000 1.570796 0.000000
	1 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
	0 0.000000 0.000000 0.000000
